transaction_id,account_id,transaction_date,amount,currency,transaction_type,merchant_name,merchant_category,status,country_code,is_duplicate,ingestion_timestamp
TXN-0109,ACC-1011,2024-02-23T14:03:38Z,6126.69,USD,credit,B&Q,home_and_garden,completed,GB,False,2026-04-18T19:08:47.521045+00:00
TXN-0141,ACC-1020,2024-01-05T05:02:52Z,740.69,USD,debit,Boots,health,completed,GB,False,2026-04-18T19:08:47.521045+00:00
TXN-0267,ACC-1002,2024-01-14T14:32:22Z,338.02,USD,debit,ACH Transfer,transfer,completed,US,False,2026-04-18T19:08:47.521045+00:00
TXN-0047,ACC-1003,2024-03-16T01:58:54Z,98.01,USD,debit,Tesco,groceries,completed,GB,False,2026-04-18T19:08:47.521045+00:00
TXN-0207,ACC-1010,2024-03-23T15:49:02Z,1344.29,EUR,credit,Zara,retail,completed,ES,False,2026-04-18T19:08:47.521045+00:00
TXN-0145,ACC-1008,2024-02-10T04:15:19Z,2777.56,USD,credit,Booking.com,travel,completed,NL,False,2026-04-18T19:08:47.521045+00:00
TXN-0232,ACC-1017,2024-03-02T01:44:06Z,653.49,USD,debit,Leroy Merlin,home_and_garden,completed,FR,False,2026-04-18T19:08:47.521045+00:00
TXN-0236,ACC-1009,2024-02-29T05:34:53Z,3925.02,USD,credit,Deliveroo,food_and_beverage,completed,GB,False,2026-04-18T19:08:47.521045+00:00
TXN-0176,ACC-1010,2024-03-22T23:39:38Z,480.0,CAD,debit,John Lewis,retail,completed,GB,False,2026-04-18T19:08:47.521045+00:00
TXN-0090,ACC-1020,2024-01-22T21:53:20Z,397.25,GBP,debit,Lufthansa,travel,completed,DE,False,2026-04-18T19:08:47.521045+00:00
TXN-0241,ACC-1008,2024-01-05T22:17:31Z,495.18,EUR,debit,Shell Gas,transportation,completed,US,False,2026-04-18T19:08:47.521045+00:00
TXN-0262,ACC-1018,2024-01-13T21:53:19Z,5262.92,JPY,credit,Xbox Game Pass,entertainment,completed,US,False,2026-04-18T19:08:47.521045+00:00
TXN-0025,ACC-1015,2024-03-24T20:53:07Z,587.69,USD,debit,Whole Foods,groceries,completed,US,False,2026-04-18T19:08:47.521045+00:00
TXN-0016,ACC-1004,2024-03-25T12:27:19Z,5039.87,GBP,credit,Zalando,e-commerce,completed,DE,False,2026-04-18T19:08:47.521045+00:00
TXN-0024,ACC-1016,2024-01-24T14:13:28Z,674.87,JPY,debit,Waitrose,groceries,completed,GB,False,2026-04-18T19:08:47.521045+00:00
TXN-0298,ACC-1009,2024-01-10T22:12:59Z,32.17,AUD,debit,Macy's,retail,completed,US,False,2026-04-18T19:08:47.521045+00:00
TXN-0061,ACC-1009,2024-03-13T23:46:00Z,2053.19,GBP,credit,DB Bahn,transportation,completed,DE,False,2026-04-18T19:08:47.521045+00:00
TXN-0122,ACC-1013,2024-01-27T15:35:08Z,130.43,CAD,debit,Bunnings,home_and_garden,completed,AU,False,2026-04-18T19:08:47.521045+00:00
